constant_name,value,unit,notes
speed_of_light,299792458,m s^-1,exact SI value
gravitational_constant,6.67430e-11,m^3 kg^-1 s^-2,CODATA value
solar_mass,1.98847e30,kg,nominal solar mass used for educational calculations
earth_mass,5.9722e24,kg,Earth mass approximate
earth_radius,6.371e6,m,mean Earth radius approximate
sun_radius,6.957e8,m,solar radius approximate
astronomical_unit,1.495978707e11,m,IAU-defined astronomical unit
parsec,3.085677581491367e16,m,parsec in meters
hbar,1.054571817e-34,J s,reduced Planck constant
